sample_id,source_mission,split,label,scan_age_max,scan_age_p95,scan_gap_max,scan_valid_fraction_min,tf_map_odom_age_max,tf_map_odom_age_p95,tf_odom_base_age_max,amcl_position_step_max,tf_map_odom_position_step_max,amcl_tf_jump_product,wheel_opposite_forward_fraction,wheel_opposite_motion_fraction,right_negative_forward_fraction,left_negative_forward_fraction,right_negative_straight_fraction,left_negative_straight_fraction,left_cmd_sign_disagreement_fraction,right_cmd_sign_disagreement_fraction,wheel_velocity_difference_mean,wheel_velocity_difference_p95,wheel_velocity_difference_max,wheel_velocity_product_min,wheel_velocity_product_p05,left_wheel_abs_mean,right_wheel_abs_mean,left_cmd_vx_correlation,right_cmd_vx_correlation,linear_motion_error_p95,angular_motion_error_p95,odom_imu_yaw_error_p95,command_active_fraction,straight_forward_fraction,cmd_vx_abs_mean,cmd_wz_abs_mean,fault_start_s,fault_duration_s,localization_offset_m,modified_wheel,modified_samples
healthy_001__Healthy__000,healthy_001,train,Healthy,0.1735967820000041,0.17137186930000606,0.2016897370000023,0.8555555555555555,0.1708412589999994,0.1622195375999979,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,2.9177668151702254,7.879525489490718,8.672683257611936,-18.803858664682565,-15.059784558039444,4.475276582285649,5.181336892525906,0.7168633863350276,0.8396231172338592,0.021668953277037946,0.16136365520982837,0.02071547159737717,0.95,0.42,0.14763157894736836,0.3363179487179487,,,,,
healthy_001__Healthy__001,healthy_001,train,Healthy,0.1984622410000014,0.19732296575000205,0.2016897370000023,0.8805555555555555,0.1935366140000027,0.1867527847999998,0.0332836660000026,0.2724371570507145,0.0258541851989668,0.0070436407134691756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7912436636879717,5.584209287078812,7.441952891344951,-0.00242118745229055,-9.94093830252541e-06,4.001304380437088,4.58547395585842,0.11857511705670223,0.37893861363878334,0.02315495221947877,0.06229041640698364,0.007960257857142125,0.68,0.56,0.1423052631578947,0.0940307692307692,,,,,
healthy_001__Healthy__002,healthy_001,train,Healthy,0.1673552940000036,0.1657034565999996,0.2015482879999979,0.8555555555555555,0.1650849010000001,0.15650541565000392,0.033182778000004,0.2611468410094815,0.0335374166990657,0.00875819042657964,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,3.37464887572629,8.659456556709424,8.692697736053308,-18.89074827409834,-18.7465482926564,4.3917343080216975,4.472393816246154,0.7553773434425848,0.8643320853237797,0.013367597827548261,0.162867630353094,0.02079918415792188,1.0,0.38,0.11428421052631574,0.3854871794871795,,,,,
healthy_001__Healthy__003,healthy_001,train,Healthy,0.1790070360000015,0.178159730100004,0.2016897370000023,0.8555555555555555,0.1755731120000021,0.1691730067500049,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.018983368874739,5.584209287078812,7.441952891344951,-9.788791995086303e-06,-9.067532859693496e-06,4.008173307734611,4.661325679124073,0.5773565944808867,0.7675311766559995,0.012971635845008008,0.10822842930320814,0.009947739911760218,0.76,0.42,0.1445052631578947,0.23403076923076915,,,,,
healthy_001__Healthy__004,healthy_001,train,Healthy,0.2001320389999996,0.1987062160000027,0.201879796,0.8722222222222222,0.2096844240000006,0.20151547719999985,0.033635942,0.2625406489326475,0.0864186749102557,0.022688414990838037,0.06,0.09,0.0,0.06,0.0,0.0,0.0,0.0,2.8749813638291717,8.794405658603507,9.058848562370144,-18.553987950468755,-12.987365578679071,3.8096252407248072,6.149340768412442,0.7669484872989941,0.49924141298673524,0.04781737563661565,0.14984375999970106,0.023127541118722613,0.82,0.43,0.1948363286264441,0.40061288305190756,,,,,
healthy_001__Healthy__005,healthy_001,train,Healthy,0.160261362000007,0.15728243555000632,0.2015482879999979,0.8555555555555555,0.1558168500000007,0.14932447935000176,0.0325286710000014,0.2552422104589066,0.0587062941950697,0.014984324298200468,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.1116904488895782,8.659456556709424,8.692697736053308,-18.89074827409834,-18.7465482926564,2.9982793238900087,2.466697836961188,0.746513034440753,0.7664006618397607,0.013367597827548261,0.16268076456660832,0.02079918415792188,0.78,0.2,0.052221052631578925,0.3521641025641024,,,,,
healthy_001__Healthy__006,healthy_001,train,Healthy,0.1745684310000044,0.1733403426500085,0.2016897370000023,0.8555555555555555,0.1708412589999994,0.1622195375999979,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.731128095804617,7.879525489490718,8.672683257611936,-18.803858664682565,-15.059784558039444,4.402913227325241,5.067061528120704,0.6873015103086971,0.8618968882118805,0.021668953277037946,0.1599902869927775,0.02071547159737717,0.92,0.42,0.1470526315789473,0.3181743589743589,,,,,
healthy_001__Healthy__007,healthy_001,train,Healthy,0.1730621029999994,0.17084377635000114,0.2016897370000023,0.8555555555555555,0.1690852040000052,0.16164017570000402,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,2.9869537315305608,7.879525489490718,8.672683257611936,-18.803858664682565,-15.059784558039444,4.49934619933485,5.22645419183704,0.7404849438397174,0.8413666960007292,0.022615768504476413,0.16286218302095343,0.02071547159737717,0.98,0.42,0.14821052631578938,0.34535384615384607,,,,,
healthy_001__Healthy__008,healthy_001,train,Healthy,0.2001320389999996,0.1987062160000027,0.201879796,0.8722222222222222,0.2096844240000006,0.20136580635000198,0.033635942,0.2625406489326475,0.0864186749102557,0.022688414990838037,0.06,0.09,0.0,0.06,0.0,0.0,0.0,0.0,2.8750499628632276,8.794405658603507,9.058848562370144,-18.553987950468755,-12.987365578679071,4.3253695746592715,6.665112255321825,0.759054700650853,0.4777415055678647,0.043123216071476504,0.14714906268701408,0.023127541118722613,0.9,0.51,0.19604385964912271,0.36500284900284913,,,,,
healthy_001__Healthy__009,healthy_001,train,Healthy,0.197664888000002,0.19587675830000226,0.2016897370000023,0.875,0.1935366140000027,0.1865288303000015,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8620987733468027,5.584209287078812,7.441952891344951,-0.00242118745229055,-9.94093830252541e-06,3.9558576947945245,4.623862188407517,0.09370401659752159,0.39855838618777467,0.02315495221947877,0.07323257507204933,0.007995067124846895,0.68,0.56,0.14242105263157892,0.10018461538461536,,,,,
healthy_001__Healthy__010,healthy_001,train,Healthy,0.2001320389999996,0.1987062160000027,0.2013216809999995,0.8916666666666667,0.2013584240000021,0.19355899850000258,0.0332836660000026,0.2724371570507145,0.0310259651166499,0.008452625731134738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27844716182654755,1.0729034131298523,1.5421511407873876,-0.00242118745229055,-9.94093830252541e-06,4.65568788444528,4.680159470996689,0.5580868453892031,0.6981673752197821,0.023078198372993075,0.06216936496707423,0.008192790927547926,0.73,0.73,0.15295789473684204,0.02769230769230762,,,,,
healthy_001__Healthy__011,healthy_001,train,Healthy,0.163209952999999,0.16196528889999798,0.2015482879999979,0.8555555555555555,0.1593778089999986,0.15081525955000316,0.0325286710000014,0.2552422104589066,0.0587062941950697,0.014984324298200468,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.2772554762016846,8.659456556709424,8.692697736053308,-18.89074827409834,-18.7465482926564,3.742438439520727,3.293962369907208,0.7632098254816059,0.8333627328545787,0.013367597827548261,0.16268076456660832,0.02079918415792188,0.9,0.32,0.07815789473684208,0.3724205128205127,,,,,
healthy_001__Healthy__012,healthy_001,train,Healthy,0.1827795610000002,0.18106022165000013,0.2016897370000023,0.8555555555555555,0.180901342999995,0.17219336224999884,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.917602846211492,5.584209287078812,7.441952891344951,-0.00242118745229055,-9.94093830252541e-06,3.9153642175907373,4.6712824825874115,0.09971788050523993,0.386208444173406,0.0141456756087727,0.10822842930320814,0.009226763782741888,0.68,0.38,0.14218947368421048,0.2242871794871794,,,,,
healthy_001__Healthy__013,healthy_001,train,Healthy,0.1694637820000082,0.1673762315500035,0.2016897370000023,0.8555555555555555,0.1654865659999984,0.1590260145000044,0.0340767710000022,0.2611468410094815,0.0362140760754777,0.009457191567188042,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,3.191989376909055,8.652202284508355,8.692697736053308,-18.89074827409834,-18.715151017203898,4.5601333652101355,4.896807762333196,0.7584376553431861,0.8632194307056564,0.013367597827548261,0.16286218302095343,0.020325253759642694,1.0,0.42,0.13165263157894733,0.3636205128205128,,,,,
healthy_001__Healthy__014,healthy_001,train,Healthy,0.1983229000000008,0.19695381855000008,0.2016897370000023,0.8805555555555555,0.1935366140000027,0.1865288303000015,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8201153119195445,5.584209287078812,7.441952891344951,-0.00242118745229055,-9.94093830252541e-06,3.9847513337254394,4.602019155328784,0.10640885580661362,0.3880600906734908,0.02315495221947877,0.07323257507204933,0.007995067124846895,0.68,0.56,0.1423052631578947,0.09659487179487178,,,,,
